iter	Logloss
0	0.6622701514
1	0.6556642998
2	0.6537820388
3	0.6524791389
4	0.6506786046
5	0.6500524617
6	0.6486281165
7	0.6468746983
8	0.6456476623
9	0.6446026631
10	0.6435419017
11	0.6424906432
12	0.6415833367
13	0.6403180782
14	0.6391332601
15	0.6379788557
16	0.6373515455
17	0.6367710847
18	0.6359746654
19	0.6335435122
20	0.6328446883
21	0.6322112411
22	0.6314408724
23	0.6306748937
24	0.6299274719
25	0.6291908558
26	0.6287012841
27	0.6279182975
28	0.6273186165
29	0.6266073408
30	0.6260312349
31	0.6255445324
32	0.6247595883
33	0.6245343027
34	0.6239657821
35	0.6234271667
36	0.6225224974
37	0.6219347664
38	0.6214367759
39	0.6211066053
40	0.6205872076
41	0.6200459829
42	0.6194202032
43	0.6188405112
44	0.6181263529
45	0.6173784248
46	0.6167933987
47	0.6162127843
48	0.6155640512
49	0.6146489422
50	0.6143720625
51	0.6139206069
52	0.6134996824
53	0.6129320143
54	0.6121187811
55	0.6113829627
56	0.6107299556
57	0.6102326991
58	0.6096549419
59	0.6090468308
60	0.608553057
61	0.6080735899
62	0.607980067
63	0.6073100811
64	0.606866324
65	0.606342866
66	0.6056894364
67	0.6054606022
68	0.6051878633
69	0.6047390638
70	0.6044282254
71	0.6041833888
72	0.6037391757
73	0.6029187527
74	0.602160749
75	0.6014897134
76	0.6010482777
77	0.6003160707
78	0.5998999351
79	0.5995221268
80	0.5991562982
81	0.5984483647
82	0.5980193184
83	0.5977054991
84	0.5973910374
85	0.5970360171
86	0.5965506387
87	0.5958163547
88	0.595532053
89	0.5952041273
90	0.59490304
91	0.5946170061
92	0.5945177782
93	0.5940578269
94	0.5934018216
95	0.5930115388
96	0.5924419991
97	0.5918548156
98	0.5914618374
99	0.5909573166
100	0.5906549439
101	0.5900618081
102	0.5896963425
103	0.589096001
104	0.5887383583
105	0.5884256889
106	0.5881589357
107	0.5881219956
108	0.5876237801
109	0.5870660629
110	0.586630024
111	0.58616114
112	0.5855474572
113	0.5854178804
114	0.5853551164
115	0.5851779743
116	0.5849102685
117	0.5844358216
118	0.5840499564
119	0.5837731689
120	0.5832605474
121	0.5829174025
122	0.5824063267
123	0.5820489513
124	0.5817955484
125	0.5814810373
126	0.5809502028
127	0.5805307548
128	0.5800371603
129	0.5795998312
130	0.5791552702
131	0.5787510511
132	0.5783868516
133	0.5780589822
134	0.5778673389
135	0.5774862278
136	0.5769867022
137	0.5766473455
138	0.5763067676
139	0.5759505809
140	0.5758183738
141	0.5757546456
142	0.5751898053
143	0.5743284032
144	0.5739225997
145	0.5735881152
146	0.5732212024
147	0.572560998
148	0.5720280876
149	0.5718633355
150	0.5714342088
151	0.5707012161
152	0.5702499171
153	0.5699511669
154	0.5694115698
155	0.5687311052
156	0.5679899573
157	0.5677367804
158	0.5677210648
159	0.5672530875
160	0.5668867539
161	0.5664802714
162	0.5663773555
163	0.5660963547
164	0.5656956345
165	0.5653437886
166	0.565115593
167	0.5647118403
168	0.5643492055
169	0.5641515017
170	0.5639795259
171	0.5636548181
172	0.5632616769
173	0.5629391599
174	0.5629355429
175	0.5625187024
176	0.562309448
177	0.5620096813
178	0.5616251688
179	0.5611291451
180	0.5608415562
181	0.560405669
182	0.5601424694
183	0.5596514345
184	0.5594372853
185	0.5591318632
186	0.5587408823
187	0.5582611431
188	0.558097956
189	0.5578507082
190	0.5574917465
191	0.5570826211
192	0.5566587811
193	0.5562548952
194	0.5559864752
195	0.5556100166
196	0.5553247187
197	0.5550972015
198	0.5550683686
199	0.5548392214
