iter	Passed	Remaining
0	6	1285
1	13	1294
2	18	1231
3	26	1281
4	32	1278
5	39	1286
6	46	1274
7	52	1267
8	59	1258
9	65	1246
10	72	1237
11	78	1231
12	85	1226
13	92	1223
14	98	1212
15	104	1204
16	111	1205
17	119	1207
18	126	1207
19	134	1208
20	141	1205
21	148	1202
22	155	1197
23	162	1194
24	170	1193
25	177	1188
26	185	1185
27	191	1179
28	199	1174
29	205	1166
30	212	1159
31	219	1154
32	227	1149
33	234	1146
34	242	1143
35	249	1138
36	257	1134
37	265	1130
38	272	1126
39	281	1124
40	288	1119
41	296	1116
42	304	1110
43	312	1106
44	319	1099
45	327	1095
46	334	1090
47	342	1085
48	351	1083
49	359	1079
50	367	1074
51	375	1069
52	383	1062
53	390	1056
54	397	1047
55	404	1038
56	410	1030
57	417	1021
58	424	1013
59	431	1006
60	438	1000
61	446	993
62	453	986
63	461	979
64	468	972
65	474	964
66	482	958
67	490	951
68	497	944
69	504	936
70	511	929
71	518	922
72	525	915
73	532	906
74	539	899
75	546	891
76	553	884
77	560	876
78	567	869
79	574	861
80	581	854
81	588	846
82	595	839
83	602	831
84	609	825
85	616	817
86	623	810
87	630	802
88	637	795
89	644	787
90	651	780
91	657	772
92	664	764
93	671	757
94	678	749
95	685	742
96	691	734
97	698	726
98	704	718
99	711	711
100	718	704
101	725	696
102	731	689
103	738	681
104	744	673
105	751	666
106	758	659
107	765	651
108	772	644
109	779	637
110	786	630
111	793	623
112	800	616
113	808	609
114	816	603
115	823	596
116	830	589
117	838	582
118	845	575
119	853	569
120	860	562
121	868	555
122	875	548
123	883	541
124	890	534
125	897	527
126	905	520
127	912	513
128	920	506
129	927	499
130	935	492
131	942	485
132	949	478
133	957	471
134	964	464
135	971	457
136	979	450
137	987	443
138	994	436
139	1002	429
140	1009	422
141	1018	415
142	1025	408
143	1032	401
144	1040	394
145	1047	387
146	1055	380
147	1062	373
148	1069	366
149	1077	359
150	1084	351
151	1091	344
152	1099	337
153	1106	330
154	1113	323
155	1120	316
156	1127	308
157	1134	301
158	1141	294
159	1148	287
160	1155	279
161	1162	272
162	1169	265
163	1175	258
164	1182	250
165	1189	243
166	1195	236
167	1202	229
168	1209	221
169	1215	214
170	1222	207
171	1229	200
172	1235	192
173	1242	185
174	1249	178
175	1256	171
176	1263	164
177	1269	156
178	1276	149
179	1282	142
180	1289	135
181	1295	128
182	1301	120
183	1307	113
184	1313	106
185	1320	99
186	1326	92
187	1332	85
188	1338	77
189	1345	70
190	1351	63
191	1358	56
192	1364	49
193	1371	42
194	1378	35
195	1384	28
196	1390	21
197	1397	14
198	1403	7
199	1409	0
